151743973:07:12:51:28 -24.86811 22203.15524 64.63686*
151743973:07:01:08:32 -24.16556 22561.86210 72.28139
151743973:07:01:25:36 -21.15709 22969.53468 72.36851
151743973:07:01:42:40 -21.10606 22981.08937 72.43834
151743973:07:01:59:44 -20.37492 23455.05666 64.63686*
151743973:07:02:16:52 -17.83687 23906.08690 64.63686*
151743973:07:02:33:56 -17.45654 24046.54417 73.23793
151743973:07:02:51:00 -16.54613 24056.48033 73.46608
151743973:07:03:08:04 -13.41628 24108.26638 73.52274
151743973:07:03:25:12 -13.28222 24331.91916 73.72861
151743973:07:03:42:16 -11.43866 24348.81051 74.02909
151743973:07:03:59:20 -9.21928 24569.32951 74.04546
151743973:07:04:16:24 -8.39873 24601.17919 74.35349
151743973:07:04:33:28 -8.21534 24918.74048 64.63686*
151743973:07:04:50:32 -7.02845 25175.19796 64.63686*
151743973:07:05:07:40 -5.76149 25186.63947 75.31717
151743973:07:05:24:44 -5.17614 25772.97785 75.45234
151743973:07:05:41:48 -4.11294 25854.30412 75.45244
151743973:07:05:58:56 0.79717 25889.38686 64.63686*
151743973:07:06:16:00 1.38579 26926.58631 64.63686*
151743973:07:06:33:04 2.99585 27185.03562 76.64207
151743973:07:06:50:12 4.96832 27583.98996 76.66965
151743973:07:07:07:16 5.38940 27637.93730 76.76768
151743973:07:07:24:20 6.28644 28354.17474 76.98630
151743973:07:07:41:24 8.77747 28937.95663 77.52150
151743973:07:07:58:28 9.16028 29497.08166 77.64513
151743973:07:08:15:32 10.25116 29559.20597 77.66271
151743973:07:08:32:36 15.37233 29753.15519 77.71095
151743973:07:08:49:40 16.40046 29866.30614 78.49934
151743973:07:09:06:44 21.27850 29977.77614 79.13014*
